Titulo;Ano;Genero;Duracao;Diretor;Roteirista;Nota IMDB;Qtd Rev IMDB;Nota Metascore;Qtd Rev Metascore;Sinopse;Link
St. Elsewhere;0;Drama;60;;Joshua Brand;7.9;2857;0;36;"
                    The lives and work of the staff of St. Eligius Hospital, an old and disrespected Boston teaching hospital.
            ";http://www.imdb.com/title/tt0083483/?ref_=nm_flmg_act_46
Heroi sem Patria;1988;Crime;105;Martin Stellman;Martin Stellman;5.7;1932;0;13;"
                    A retired British soldier struggles to adjust to everyday life, with increasing difficulty.
            ";http://www.imdb.com/title/tt0097373/?ref_=nm_flmg_act_47
Um Grito de Liberdade;1987;Biography;157;Richard Attenborough;John Briley;7.5;11081;59;51;"
                    South African journalist Donald Woods is forced to flee the country, after attempting to investigate the death in custody of his friend, the black activist Steve Biko.
            ";http://www.imdb.com/title/tt0092804/?ref_=nm_flmg_act_48
Uma Licao de Coragem;1986;Biography;100;Eric Laneuville;Charles Eric Johnson;6.0;523;0;5;"
                    He risked it all to make the grade.
            ";http://www.imdb.com/title/tt0091106/?ref_=nm_flmg_act_49
Os Donos do Poder;1986;Drama;111;Sidney Lumet;David Himmelstein;5.7;2387;0;16;"
                    After a close friend drops out of politics, a political consultant helping to find a replacement finds a web of corruption and deceit as well.
            ";http://www.imdb.com/title/tt0091786/?ref_=nm_flmg_act_50
A Historia de um Soldado;1984;Crime;101;Norman Jewison;Charles Fuller;7.2;7562;0;48;"
                    An African American officer investigates a murder in a racially charged situation in World War II.
            ";http://www.imdb.com/title/tt0088146/?ref_=nm_flmg_act_51
License to Kill;1984;Drama;96;Jud Taylor;William A. Schwartz;5.5;752;0;10;"
                    A grieving family whose daughter was killed in a car crash with a drunken driver is outraged and frustrated as they encounter the inevitable bureaucratic delays in bringing the case to ...
                    See full summary »
            ";http://www.imdb.com/title/tt0087617/?ref_=nm_flmg_act_52
A Cara do Pai;1981;Comedy;92;Michael Schultz;Stanley Shapiro;5.6;2150;0;25;"
                    When a rich white corporate executive finds out that he has an illegitimate black son, things start falling apart for him at home, at work and in his social circles.
            ";http://www.imdb.com/title/tt0082138/?ref_=nm_flmg_act_53
Coriolanus;1979;Drama;0;Wilford Leach;William Shakespeare;6.7;72;0;0;"
                    A banished hero of Rome allies with a sworn enemy to take his revenge on the city.
            ";http://www.imdb.com/title/tt0078999/?ref_=nm_flmg_act_54
Flesh & Blood;1979;Drama;240;Jud Taylor;Eric Bercovici;6.5;175;0;3;"
                    A convict takes up boxing in prison and this brings a new meaning to his life. Once out, his trainer motivates him to become a professional boxer. He cares about only two other things, his uncomfortably close mother and absent father.
            ";http://www.imdb.com/title/tt0079161/?ref_=nm_flmg_act_55
Wilma;1977;Biography;100;Bud Greenspan;Bud Greenspan;6.0;171;0;1;"
                    The story of American track sprinter Wilma Rudolph, who overcame physical handicaps to win three gold medals in the 1960 Olympics.
            ";http://www.imdb.com/title/tt0076923/?ref_=nm_flmg_act_56
